Woche von Zeitstempel;Summe endverbrauchte Energie;Summe produzierte Energie
29. April 2013;1029253972;1478104355
6. Mai 2013;961827479;1338733161
13. Mai 2013;1023350866;1360422900
20. Mai 2013;1048555039;1217216656
27. Mai 2013;1051434335;1127289101
3. Juni 2013;1018731164;1144077367
10. Juni 2013;1005293748;1332106110
17. Juni 2013;1014251649;1501794704
24. Juni 2013;1001552283;1284967318
1. Juli 2013;984762405;1365828367
8. Juli 2013;981098073;1394237715
15. Juli 2013;951985402;1340974189
22. Juli 2013;929761921;1471307311
29. Juli 2013;858330274;1479282128
5. August 2013;926789583;1433651112
12. August 2013;938182188;1161493758
19. August 2013;988960451;1184188463
26. August 2013;994563090;1220211119
2. September 2013;1002091111;964950004
9. September 2013;1021567984;1035134393
16. September 2013;1040287913;1073889049
23. September 2013;1019416957;1085524872
30. September 2013;1037748702;1163075716
7. Oktober 2013;1078921464;1169918206
14. Oktober 2013;1071896361;1229322399
21. Oktober 2013;1075046670;1288846323
28. Oktober 2013;1085007968;1255405681
4. November 2013;1132372317;1314866946
11. November 2013;1206642871;1303119529
18. November 2013;1254349756;1379648458
25. November 2013;1317038254;1407674401
2. Dezember 2013;1309544636;1355088814
9. Dezember 2013;1325012205;1385583398
16. Dezember 2013;1277491270;1247549183
23. Dezember 2013;1060221824;963608052
30. Dezember 2013;1102211652;970623962
6. Januar 2014;1210238516;1078041516
13. Januar 2014;1268579698;1165974218
20. Januar 2014;1280898682;1182450669
27. Januar 2014;1289290808;1188455627
3. Februar 2014;1265990738;1191654553
10. Februar 2014;1247779490;1220514201
17. Februar 2014;1223287469;1174453287
24. Februar 2014;1211013497;1203348275
3. März 2014;1205966265;1182078043
10. März 2014;1140182215;1136069663
17. März 2014;1108663219;1171960997
24. März 2014;1139818290;1333154533
31. März 2014;1062667952;1211949200
7. April 2014;1040019011;1222047442
14. April 2014;1014428026;1220594990
21. April 2014;985775655;1196460383
28. April 2014;1050547847;1258540626
5. Mai 2014;1034077378;1305924167
12. Mai 2014;1062171762;1326669545
19. Mai 2014;1008371361;1464475771
26. Mai 2014;954783465;1448715732
2. Juni 2014;989024978;1419637469
9. Juni 2014;970380090;1373919046
16. Juni 2014;970368048;1203817154
23. Juni 2014;988465935;1312898268
30. Juni 2014;987205533;1276160114
7. Juli 2014;991422876;1507761798
14. Juli 2014;955529530;1524554553
21. Juli 2014;919609149;1565596862
28. Juli 2014;858628319;1575498906
4. August 2014;914104948;1482044264
11. August 2014;951264551;1287932860
18. August 2014;989677431;1100018838
25. August 2014;1016733341;1138296498
1. September 2014;1011400629;1149501503
8. September 2014;1017900554;1142803141
15. September 2014;1022295065;1262063870
22. September 2014;1024733359;1223011341
29. September 2014;1022882074;1253058577
6. Oktober 2014;1026284988;1154152437
13. Oktober 2014;1042744468;1264046685
20. Oktober 2014;1092933589;1255770712
27. Oktober 2014;1101473564;1248291108
3. November 2014;1150158301;1344561413
10. November 2014;1154029840;1357970694
17. November 2014;1178775100;1390696189
24. November 2014;1175876220;1308335761
1. Dezember 2014;1240127876;1482887340
8. Dezember 2014;1259534390;1416124815
15. Dezember 2014;1207312714;1244087409
22. Dezember 2014;1083632806;1016139709
29. Dezember 2014;1138170773;1115409788
5. Januar 2015;1235469991;1229802114
12. Januar 2015;1259720192;1266404499
19. Januar 2015;1309370268;1353245112
26. Januar 2015;1313572192;1317276322
2. Februar 2015;1352859584;1414949633
9. Februar 2015;1301675434;1290515676
16. Februar 2015;1285023453;1259719740
23. Februar 2015;1269667908;1220890244
2. März 2015;1229607301;1201373342
9. März 2015;1176109198;1107764277
16. März 2015;1140148114;1070718020
23. März 2015;1147647377;1103570781
30. März 2015;1096797407;1058685037
6. April 2015;1040855091;994558904
13. April 2015;1031865614;1116042585
20. April 2015;1011971689;1157202129
27. April 2015;1029740737;1271219877
4. Mai 2015;1010973403;1434477246
11. Mai 2015;939885182;1527700996
18. Mai 2015;1021593942;1531775429
25. Mai 2015;973672461;1341067709
1. Juni 2015;984604872;1461746228
8. Juni 2015;986187603;1494564511
15. Juni 2015;984337287;1408806731
22. Juni 2015;973501842;1370205627
29. Juni 2015;1003060392;1493251094
6. Juli 2015;987242701;1481104451
13. Juli 2015;977748634;1480967432
20. Juli 2015;937421872;1434321490
27. Juli 2015;868102008;1183590953
3. August 2015;925371556;1174329656
10. August 2015;965823786;1054444681
17. August 2015;970324604;928098921
24. August 2015;990694306;1003713406
31. August 2015;1002567833;1008646873
7. September 2015;996990744;857306615
14. September 2015;1021011193;1149536036
21. September 2015;1036544346;1250200419
28. September 2015;1045320046;1098226178
5. Oktober 2015;1043948003;1183626660
12. Oktober 2015;1108351777;1225879508
19. Oktober 2015;1109316685;992673909
26. Oktober 2015;1094769305;971083589
2. November 2015;1107504364;1027431922
9. November 2015;1106470808;1072762663
16. November 2015;1145831037;1093787640
23. November 2015;1275880771;1357158501
