Minute von Zeitstempel;Summe endverbrauchte Energie;Zeitstempel;Summe produzierte Energie;Summe verbrauchte Energie
8. Dezember 2014 09:00;2083481;08.12.2014 09:00:00;2151801;2206969
5. Januar 2012 16:30;2086123;05.01.2012 16:30:00;1989544;2206970
22. Dezember 2011 07:45;2056468;22.12.2011 07:45:00;1984119;2206972
20. Dezember 2013 07:45;2071645;20.12.2013 07:45:00;2158375;2206997
19. Dezember 2012 14:30;2080892;19.12.2012 14:30:00;1913993;2207004
24. März 2014 12:15;2083005;24.03.2014 12:15:00;2353664;2207008
23. Januar 2012 19:45;2064431;23.01.2012 19:45:00;2008854;2207021
22. Dezember 2011 19:30;2053926;22.12.2011 19:30:00;1800205;2207038
4. März 2013 12:45;2091618;04.03.2013 12:45:00;1646423;2207043
5. November 2013 18:15;2083921;05.11.2013 18:15:00;2754030;2207057
11. Januar 2013 19:45;2077586;11.01.2013 19:45:00;2389501;2207069
25. November 2014 18:45;2074727;25.11.2014 18:45:00;2917984;2207082
8. Dezember 2014 11:15;2088819;08.12.2014 11:15:00;2078318;2207095
29. Februar 2012 09:15;2078052;29.02.2012 09:15:00;1818328;2207115
19. November 2012 19:15;2077419;19.11.2012 19:15:00;2590151;2207123
18. Januar 2012 20:30;2062110;18.01.2012 20:30:00;2073361;2207135
26. Februar 2015 20:15;2064933;26.02.2015 20:15:00;2222046;2207144
24. Februar 2015 17:45;2069693;24.02.2015 17:45:00;1879050;2207146
4. Februar 2013 19:45;2084700;04.02.2013 19:45:00;2392579;2207152
1. März 2012 10:30;2078714;01.03.2012 10:30:00;1634955;2207172
12. November 2012 12:15;2092794;12.11.2012 12:15:00;2073839;2207174
20. Dezember 2012 20:00;2071425;20.12.2012 20:00:00;2165432;2207207
10. Dezember 2012 07:15;2080464;10.12.2012 07:15:00;1844973;2207214
20. Januar 2014 19:45;2079032;20.01.2014 19:45:00;2357667;2207219
21. November 2014 08:30;2073282;21.11.2014 08:30:00;2821881;2207220
7. Dezember 2012 06:45;2078341;07.12.2012 06:45:00;2049867;2207224
6. März 2013 14:15;2075473;06.03.2013 14:15:00;1760898;2207229
12. November 2014 17:15;2081330;12.11.2014 17:15:00;2733184;2207232
6. Januar 2015 16:45;2074329;06.01.2015 16:45:00;1755527;2207237
1. April 2015 09:45;2096094;01.04.2015 09:45:00;2453921;2207264
9. Januar 2013 15:15;2078592;09.01.2013 15:15:00;2199282;2207290
21. November 2014 09:00;2078965;21.11.2014 09:00:00;2809068;2207330
14. Februar 2012 00:30;2046913;14.02.2012 00:30:00;1527673;2207337
14. Februar 2014 18:00;2085791;14.02.2014 18:00:00;1983984;2207341
15. Januar 2013 20:30;2075358;15.01.2013 20:30:00;2364498;2207370
11. April 2012 12:15;2075861;11.04.2012 12:15:00;1922371;2207373
16. November 2012 09:30;2077581;16.11.2012 09:30:00;2493460;2207407
18. November 2013 16:30;2077702;18.11.2013 16:30:00;2444528;2207423
19. Dezember 2012 20:00;2078931;19.12.2012 20:00:00;2312375;2207442
8. Dezember 2014 13:45;2087857;08.12.2014 13:45:00;1983289;2207454
17. Januar 2013 22:15;2083589;17.01.2013 22:15:00;2168304;2207467
20. April 2012 11:45;2072467;20.04.2012 11:45:00;1905512;2207503
12. Februar 2015 20:30;2074342;12.02.2015 20:30:00;2025342;2207533
5. März 2014 13:45;2076437;05.03.2014 13:45:00;1790548;2207549
7. Februar 2015 19:15;2064277;07.02.2015 19:15:00;2596854;2207569
14. Dezember 2013 18:00;2066770;14.12.2013 18:00:00;2098653;2207571
4. März 2015 18:00;2071626;04.03.2015 18:00:00;2052542;2207584
24. Oktober 2012 12:00;2092639;24.10.2012 12:00:00;2025894;2207606
28. Januar 2014 14:45;2072527;28.01.2014 14:45:00;1761993;2207609
21. Dezember 2012 09:15;2078733;21.12.2012 09:15:00;2321615;2207637
24. September 2012 12:00;2091101;24.09.2012 12:00:00;1958754;2207642
29. Oktober 2012 09:45;2094675;29.10.2012 09:45:00;1925180;2207670
24. März 2014 10:45;2090193;24.03.2014 10:45:00;2638509;2207671
25. Februar 2015 07:30;2071464;25.02.2015 07:30:00;2310461;2207682
22. November 2013 16:00;2072407;22.11.2013 16:00:00;2128178;2207712
14. Dezember 2013 18:15;2067000;14.12.2013 18:15:00;2253082;2207740
24. Februar 2012 19:30;2078108;24.02.2012 19:30:00;2080514;2207766
5. Januar 2015 13:30;2066552;05.01.2015 13:30:00;1760528;2207768
9. Januar 2015 07:45;2078315;09.01.2015 07:45:00;2118283;2207781
19. November 2012 17:00;2075973;19.11.2012 17:00:00;2190743;2207798
20. März 2013 09:30;2086342;20.03.2013 09:30:00;1976168;2207803
18. Februar 2013 12:45;2076378;18.02.2013 12:45:00;2103851;2207811
6. März 2013 13:15;2085755;06.03.2013 13:15:00;1569575;2207814
4. April 2013 08:45;2100200;04.04.2013 08:45:00;1678917;2207843
26. November 2014 18:45;2075424;26.11.2014 18:45:00;2897772;2207846
3. April 2013 09:00;2105337;03.04.2013 09:00:00;1769294;2207852
12. Dezember 2014 14:00;2067152;12.12.2014 14:00:00;2267786;2207866
2. April 2013 12:15;2104235;02.04.2013 12:15:00;1545590;2207880
24. November 2014 18:30;2075813;24.11.2014 18:30:00;2903026;2207915
15. Januar 2013 07:15;2078994;15.01.2013 07:15:00;2111420;2207918
4. Januar 2012 11:45;2101948;04.01.2012 11:45:00;1724552;2207940
26. März 2014 11:30;2079267;26.03.2014 11:30:00;2556543;2207948
22. Mai 2013 11:45;2089341;22.05.2013 11:45:00;2529972;2207958
11. Dezember 2012 21:45;2078336;11.12.2012 21:45:00;2128692;2207966
16. Januar 2015 19:15;2073162;16.01.2015 19:15:00;2385316;2207967
21. November 2014 11:15;2070090;21.11.2014 11:15:00;2503707;2207973
8. Dezember 2014 13:30;2086842;08.12.2014 13:30:00;1977550;2207981
16. Februar 2015 20:15;2069691;16.02.2015 20:15:00;2151772;2207985
31. Januar 2014 14:00;2077385;31.01.2014 14:00:00;1703079;2208033
11. November 2013 19:00;2081996;11.11.2013 19:00:00;2535797;2208052
9. März 2015 09:00;2081719;09.03.2015 09:00:00;2178149;2208090
14. November 2012 10:00;2089205;14.11.2012 10:00:00;2263000;2208103
9. Februar 2015 21:15;2060525;09.02.2015 21:15:00;2416459;2208149
16. Dezember 2013 07:15;2074452;16.12.2013 07:15:00;2313469;2208152
5. März 2014 13:30;2080653;05.03.2014 13:30:00;1784357;2208167
10. Dezember 2012 21:15;2079086;10.12.2012 21:15:00;2067661;2208179
10. Februar 2014 17:00;2081088;10.02.2014 17:00:00;2134737;2208233
26. Februar 2015 13:30;2065500;26.02.2015 13:30:00;1886256;2208234
13. Februar 2015 14:45;2052698;13.02.2015 14:45:00;1879919;2208238
5. November 2012 18:30;2091618;05.11.2012 18:30:00;2823740;2208239
12. Januar 2012 16:15;2082419;12.01.2012 16:15:00;1718409;2208309
18. April 2012 11:45;2083147;18.04.2012 11:45:00;1982596;2208340
24. Januar 2014 17:15;2076056;24.01.2014 17:15:00;2242449;2208365
9. Januar 2013 19:45;2083274;09.01.2013 19:45:00;2757061;2208366
2. Dezember 2014 13:00;2077741;02.12.2014 13:00:00;2782353;2208377
19. Februar 2014 15:15;2083555;19.02.2014 15:15:00;1949838;2208384
20. Februar 2014 18:30;2086144;20.02.2014 18:30:00;2671868;2208403
6. November 2014 18:45;2091176;06.11.2014 18:45:00;2965414;2208417
30. Oktober 2012 19:15;2098834;30.10.2012 19:15:00;2513963;2208435
18. November 2014 11:15;2090041;18.11.2014 11:15:00;2605617;2208455
12. Januar 2012 15:15;2080834;12.01.2012 15:15:00;1714425;2208502
3. Januar 2012 17:30;2067620;03.01.2012 17:30:00;1687432;2208517
16. März 2015 09:30;2082389;16.03.2015 09:30:00;2420652;2208536
2. April 2015 10:30;2093858;02.04.2015 10:30:00;2014961;2208550
27. November 2014 09:30;2073018;27.11.2014 09:30:00;2315991;2208562
9. Januar 2014 07:45;2078869;09.01.2014 07:45:00;1802364;2208606
21. Februar 2012 16:15;2085789;21.02.2012 16:15:00;1786423;2208651
2. Dezember 2011 17:00;2077325;02.12.2011 17:00:00;1948162;2208676
19. Januar 2013 18:30;2075431;19.01.2013 18:30:00;2436135;2208678
3. Februar 2015 20:45;2084219;03.02.2015 20:45:00;2494739;2208696
20. März 2013 14:15;2089028;20.03.2013 14:15:00;1722224;2208703
4. Februar 2014 16:15;2068266;04.02.2014 16:15:00;2057461;2208732
15. Dezember 2014 14:45;2065166;15.12.2014 14:45:00;2421472;2208757
12. Dezember 2014 13:30;2068754;12.12.2014 13:30:00;2284012;2208761
26. Februar 2014 08:15;2087912;26.02.2014 08:15:00;2396805;2208771
12. Dezember 2013 21:15;2046685;12.12.2013 21:15:00;2277256;2208777
10. Februar 2014 16:15;2083670;10.02.2014 16:15:00;2105089;2208789
14. März 2013 18:30;2101097;14.03.2013 18:30:00;2243183;2208807
27. Februar 2014 19:30;2086118;27.02.2014 19:30:00;2776628;2208878
16. Dezember 2011 19:15;2072918;16.12.2011 19:15:00;2054187;2208879
19. März 2012 10:00;2067157;19.03.2012 10:00:00;2162898;2208956
7. März 2014 10:30;2079971;07.03.2014 10:30:00;2244788;2208960
30. November 2012 16:00;2088292;30.11.2012 16:00:00;2000222;2208965
21. November 2013 07:30;2079239;21.11.2013 07:30:00;2335545;2208975
28. November 2012 07:45;2072925;28.11.2012 07:45:00;2299840;2208990
10. März 2015 09:00;2073612;10.03.2015 09:00:00;2402130;2208996
10. Januar 2012 14:00;2076397;10.01.2012 14:00:00;1924938;2209036
10. Februar 2015 06:45;2071253;10.02.2015 06:45:00;2044558;2209049
24. April 2012 11:15;2084265;24.04.2012 11:15:00;1873523;2209060
22. Januar 2014 07:30;2078705;22.01.2014 07:30:00;2281142;2209097
20. März 2012 10:00;2073809;20.03.2012 10:00:00;2225797;2209166
13. November 2013 09:30;2080317;13.11.2013 09:30:00;2344441;2209167
10. Februar 2014 16:00;2083173;10.02.2014 16:00:00;2148656;2209168
11. April 2012 11:30;2072865;11.04.2012 11:30:00;2116219;2209175
1. März 2013 15:15;2098260;01.03.2013 15:15:00;1853943;2209186
15. Februar 2012 21:30;2060611;15.02.2012 21:30:00;1943370;2209188
9. November 2012 11:45;2089832;09.11.2012 11:45:00;2157722;2209212
29. Februar 2012 09:30;2077516;29.02.2012 09:30:00;1809509;2209219
5. Februar 2012 18:00;2076425;05.02.2012 18:00:00;2015940;2209232
26. Januar 2015 07:15;2077254;26.01.2015 07:15:00;2379958;2209247
16. Dezember 2014 15:15;2074511;16.12.2014 15:15:00;2319298;2209249
22. Dezember 2011 16:00;2067613;22.12.2011 16:00:00;1806846;2209265
28. Februar 2013 15:15;2087021;28.02.2013 15:15:00;1948177;2209285
26. November 2014 10:00;2071364;26.11.2014 10:00:00;2517623;2209291
5. Februar 2012 22:15;2068743;05.02.2012 22:15:00;2133123;2209331
17. März 2015 12:00;2072529;17.03.2015 12:00:00;1923598;2209339
10. Februar 2014 15:30;2077560;10.02.2014 15:30:00;2126296;2209366
12. Dezember 2012 23:00;2079251;12.12.2012 23:00:00;2053146;2209380
12. Dezember 2014 14:15;2069937;12.12.2014 14:15:00;2106281;2209401
7. März 2013 09:15;2077515;07.03.2013 09:15:00;2069679;2209422
12. Dezember 2014 12:30;2077108;12.12.2014 12:30:00;2358432;2209428
6. November 2012 09:00;2104120;06.11.2012 09:00:00;2077320;2209429
2. Dezember 2014 12:45;2079165;02.12.2014 12:45:00;2784969;2209476
7. Januar 2013 08:30;2088842;07.01.2013 08:30:00;2140420;2209478
2. März 2015 16:00;2054749;02.03.2015 16:00:00;1932376;2209491
6. März 2014 12:15;2085465;06.03.2014 12:15:00;1889246;2209492
5. November 2014 09:00;2072061;05.11.2014 09:00:00;2587429;2209507
25. November 2014 09:30;2078018;25.11.2014 09:30:00;2628405;2209513
10. November 2014 10:45;2074800;10.11.2014 10:45:00;2389425;2209515
7. Januar 2014 08:00;2096243;07.01.2014 08:00:00;1674097;2209528
4. Februar 2015 21:15;2068238;04.02.2015 21:15:00;2169030;2209553
22. Januar 2014 14:45;2086196;22.01.2014 14:45:00;1718525;2209566
22. November 2013 15:45;2075985;22.11.2013 15:45:00;2103553;2209572
27. Januar 2014 07:30;2074238;27.01.2014 07:30:00;2074094;2209585
8. Dezember 2012 18:15;2095406;08.12.2012 18:15:00;2166972;2209618
24. März 2014 10:30;2087382;24.03.2014 10:30:00;2656138;2209628
7. Februar 2015 18:15;2076390;07.02.2015 18:15:00;2539237;2209675
15. Dezember 2014 16:30;2072518;15.12.2014 16:30:00;2586280;2209684
24. Februar 2015 17:15;2065030;24.02.2015 17:15:00;1874181;2209691
7. Januar 2013 16:45;2081899;07.01.2013 16:45:00;2130576;2209702
2. April 2015 10:45;2096188;02.04.2015 10:45:00;2011321;2209727
17. Dezember 2014 07:30;2066419;17.12.2014 07:30:00;2042981;2209757
25. Februar 2015 14:30;2049036;25.02.2015 14:30:00;2001100;2209806
4. Februar 2014 20:15;2066301;04.02.2014 20:15:00;2062197;2209826
12. März 2012 11:15;2072994;12.03.2012 11:15:00;1717278;2209845
12. November 2012 18:30;2091857;12.11.2012 18:30:00;2733398;2209877
24. Mai 2013 11:45;2085306;24.05.2013 11:45:00;2354084;2209895
7. November 2014 12:00;2084861;07.11.2014 12:00:00;2081753;2209896
30. Dezember 2014 18:00;2061475;30.12.2014 18:00:00;2526819;2209923
6. März 2015 18:45;2075449;06.03.2015 18:45:00;2409635;2209939
6. Januar 2012 17:30;2091626;06.01.2012 17:30:00;1914086;2209941
14. März 2013 15:30;2094291;14.03.2013 15:30:00;1714558;2210038
14. November 2013 14:45;2078992;14.11.2013 14:45:00;2290976;2210063
12. Dezember 2012 06:45;2097016;12.12.2012 06:45:00;1996241;2210071
2. Dezember 2014 19:30;2073325;02.12.2014 19:30:00;2949039;2210073
22. Dezember 2011 15:30;2061032;22.12.2011 15:30:00;1800258;2210088
24. Januar 2014 15:30;2076965;24.01.2014 15:30:00;1873983;2210088
2. April 2013 09:30;2104270;02.04.2013 09:30:00;1760992;2210113
19. November 2014 19:00;2086586;19.11.2014 19:00:00;3074403;2210138
12. Februar 2014 13:15;2052810;12.02.2014 13:15:00;1897860;2210140
8. Dezember 2014 16:30;2093801;08.12.2014 16:30:00;2489890;2210154
27. Oktober 2014 12:00;2083717;27.10.2014 12:00:00;2534033;2210156
29. November 2012 07:30;2065185;29.11.2012 07:30:00;2145209;2210199
16. Januar 2015 13:00;2071959;16.01.2015 13:00:00;2127290;2210224
22. November 2013 15:30;2071891;22.11.2013 15:30:00;2105836;2210236
8. Dezember 2012 18:30;2096251;08.12.2012 18:30:00;2180935;2210256
30. November 2011 16:45;2077288;30.11.2011 16:45:00;1954014;2210261
4. März 2014 17:00;2078316;04.03.2014 17:00:00;1938037;2210270
20. November 2012 16:30;2079503;20.11.2012 16:30:00;2061106;2210305
26. März 2013 07:45;2093130;26.03.2013 07:45:00;1704407;2210323
31. Oktober 2012 09:15;2087411;31.10.2012 09:15:00;2161404;2210334
15. März 2013 14:00;2097714;15.03.2013 14:00:00;1669088;2210339
15. November 2012 11:15;2091362;15.11.2012 11:15:00;2336304;2210354
22. Dezember 2011 15:00;2065758;22.12.2011 15:00:00;1810792;2210372
29. November 2012 20:15;2075778;29.11.2012 20:15:00;2175066;2210390
22. Januar 2014 20:00;2078373;22.01.2014 20:00:00;2120439;2210393
8. März 2013 11:15;2078784;08.03.2013 11:15:00;1875042;2210407
18. November 2014 09:15;2083815;18.11.2014 09:15:00;2590097;2210410
29. Oktober 2012 10:00;2101195;29.10.2012 10:00:00;1925439;2210435
20. Januar 2012 07:30;2053971;20.01.2012 07:30:00;2163252;2210450
3. März 2014 12:45;2082305;03.03.2014 12:45:00;2182212;2210456
1. Februar 2012 22:15;2065210;01.02.2012 22:15:00;2357951;2210482
26. Januar 2015 20:45;2061953;26.01.2015 20:45:00;2452345;2210483
2. April 2015 10:00;2087038;02.04.2015 10:00:00;2067196;2210532
11. März 2015 11:15;2077460;11.03.2015 11:15:00;2083632;2210533
14. November 2012 08:45;2086091;14.11.2012 08:45:00;2321767;2210545
27. Januar 2012 16:45;2078323;27.01.2012 16:45:00;2025205;2210550
18. Februar 2013 13:00;2083395;18.02.2013 13:00:00;2075113;2210599
17. Februar 2012 17:45;2077638;17.02.2012 17:45:00;1905660;2210603
17. Januar 2014 19:45;2080184;17.01.2014 19:45:00;2094478;2210613
3. März 2014 18:15;2087276;03.03.2014 18:15:00;2481982;2210638
12. Januar 2015 14:30;2073405;12.01.2015 14:30:00;2022411;2210647
28. Februar 2013 15:00;2101494;28.02.2013 15:00:00;2011955;2210650
14. Januar 2014 20:00;2075737;14.01.2014 20:00:00;1992758;2210655
4. Dezember 2012 20:30;2078025;04.12.2012 20:30:00;2020536;2210656
21. November 2014 09:45;2082386;21.11.2014 09:45:00;2833593;2210660
7. November 2012 10:15;2092468;07.11.2012 10:15:00;2154598;2210660
14. März 2013 15:00;2094037;14.03.2013 15:00:00;1740457;2210661
9. Dezember 2013 13:00;2095359;09.12.2013 13:00:00;1883450;2210680
17. Dezember 2013 07:00;2069210;17.12.2013 07:00:00;2068304;2210690
11. März 2015 08:45;2075466;11.03.2015 08:45:00;2347472;2210710
13. November 2014 12:00;2091422;13.11.2014 12:00:00;2560127;2210724
4. März 2014 17:45;2073500;04.03.2014 17:45:00;2108897;2210729
25. November 2014 08:45;2082133;25.11.2014 08:45:00;2686203;2210742
20. November 2012 13:30;2093907;20.11.2012 13:30:00;1802567;2210754
2. April 2015 10:15;2091209;02.04.2015 10:15:00;2014994;2210766
9. April 2013 13:00;2100639;09.04.2013 13:00:00;1486727;2210771
6. Februar 2013 20:30;2073057;06.02.2013 20:30:00;2181243;2210777
10. Februar 2014 15:45;2085468;10.02.2014 15:45:00;2152033;2210778
7. Januar 2014 17:30;2082907;07.01.2014 17:30:00;2183952;2210786
