Minute von Zeitstempel;Summe endverbrauchte Energie;Zeitstempel;Summe produzierte Energie;Summe verbrauchte Energie
7. November 2019 10:15;2044793;07.11.2019 10:15:00;2245539;2144388
20. Oktober 2020 11:45;2047365;20.10.2020 11:45:00;2086808;2144783
10. März 2021 08:30;2046244;10.03.2021 08:30:00;2713283;2146469
22. März 2021 09:00;2045319;22.03.2021 09:00:00;2306082;2147268
9. März 2021 09:15;2046252;09.03.2021 09:15:00;2976452;2148526
7. November 2019 10:30;2049600;07.11.2019 10:30:00;2209911;2149003
22. März 2021 08:30;2049731;22.03.2021 08:30:00;2360276;2151111
9. März 2021 11:45;2051907;09.03.2021 11:45:00;2293566;2151217
10. März 2021 08:15;2047875;10.03.2021 08:15:00;2728950;2151852
22. März 2021 10:15;2045059;22.03.2021 10:15:00;2118363;2152055
7. Januar 2011 12:45;2046500;07.01.2011 12:45:00;1594226;2152577
26. November 2019 12:15;2049290;26.11.2019 12:15:00;1857822;2152737
25. November 2019 10:15;2046926;25.11.2019 10:15:00;2820067;2152965
10. November 2010 08:15;2045876;10.11.2010 08:15:00;1998438;2153297
13. November 2019 13:45;2050983;13.11.2019 13:45:00;2421749;2153344
22. März 2021 08:45;2053973;22.03.2021 08:45:00;2363674;2153359
22. Dezember 2010 14:30;2047594;22.12.2010 14:30:00;1613504;2153713
7. November 2019 10:45;2056064;07.11.2019 10:45:00;2202459;2154566
2. März 2021 09:00;2045021;02.03.2021 09:00:00;2706519;2154588
5. Februar 2021 08:00;2047059;05.02.2021 08:00:00;2349013;2154930
12. März 2010 07:15;2046434;12.03.2010 07:15:00;1890963;2155167
22. März 2021 10:30;2049028;22.03.2021 10:30:00;2091053;2155255
19. November 2020 10:45;2047527;19.11.2020 10:45:00;1887651;2155490
3. Dezember 2019 07:00;2047113;03.12.2019 07:00:00;2391161;2155601
8. Dezember 2010 16:15;2048716;08.12.2010 16:15:00;2217110;2155711
1. März 2021 08:00;2045834;01.03.2021 08:00:00;3055850;2155826
3. März 2021 08:15;2046110;03.03.2021 08:15:00;2950780;2155930
11. Februar 2021 21:15;2047412;11.02.2021 21:15:00;2195670;2156000
5. März 2020 19:45;2046796;05.03.2020 19:45:00;2533188;2156111
26. November 2019 11:15;2053556;26.11.2019 11:15:00;1972846;2156201
22. März 2021 19:00;2050160;22.03.2021 19:00:00;2348320;2156208
8. Januar 2021 16:45;2045801;08.01.2021 16:45:00;2958930;2156274
18. März 2021 18:45;2046743;18.03.2021 18:45:00;2804675;2156366
20. November 2020 19:00;2047714;20.11.2020 19:00:00;2812735;2156477
8. März 2021 09:00;2052450;08.03.2021 09:00:00;2860595;2157281
26. November 2019 09:30;2045656;26.11.2019 09:30:00;2348362;2157352
9. März 2021 12:00;2056716;09.03.2021 12:00:00;2276924;2157356
24. Januar 2020 15:45;2045946;24.01.2020 15:45:00;2840827;2157474
10. November 2010 09:30;2047852;10.11.2010 09:30:00;2076886;2157515
25. November 2019 11:15;2050251;25.11.2019 11:15:00;2759346;2157764
8. November 2019 14:00;2045337;08.11.2019 14:00:00;2790715;2157769
1. März 2021 09:00;2045864;01.03.2021 09:00:00;3010110;2157903
5. März 2021 11:15;2045080;05.03.2021 11:15:00;1953831;2158018
29. Oktober 2020 11:45;2052094;29.10.2020 11:45:00;2093717;2158020
22. Dezember 2010 13:00;2048662;22.12.2010 13:00:00;1697094;2158038
13. November 2019 13:30;2054935;13.11.2019 13:30:00;2425640;2158235
22. Dezember 2010 16:15;2046318;22.12.2010 16:15:00;1709077;2158236
25. November 2019 17:15;2045787;25.11.2019 17:15:00;3189535;2158366
24. September 2010 11:45;2048066;24.09.2010 11:45:00;2598302;2158427
1. März 2021 08:15;2049186;01.03.2021 08:15:00;3022853;2158441
7. Januar 2011 13:15;2051257;07.01.2011 13:15:00;1573911;2158523
18. Januar 2021 20:30;2046382;18.01.2021 20:30:00;2427751;2158551
3. März 2021 12:15;2047404;03.03.2021 12:15:00;2560269;2158580
19. November 2020 12:30;2050700;19.11.2020 12:30:00;1797612;2158599
15. Oktober 2020 11:00;2045092;15.10.2020 11:00:00;2962464;2158615
11. November 2010 09:30;2045795;11.11.2010 09:30:00;1886617;2158876
8. Dezember 2010 13:00;2045810;08.12.2010 13:00:00;2238564;2158950
10. Dezember 2019 14:00;2048411;10.12.2019 14:00:00;2283711;2159086
11. November 2010 09:15;2048575;11.11.2010 09:15:00;1874554;2159100
2. November 2010 08:45;2049483;02.11.2010 08:45:00;1901686;2159129
24. Januar 2020 15:30;2047299;24.01.2020 15:30:00;2831055;2159188
17. März 2011 17:00;2048090;17.03.2011 17:00:00;1868089;2159448
17. März 2011 18:00;2048080;17.03.2011 18:00:00;1910063;2159489
10. Dezember 2020 07:00;2049471;10.12.2020 07:00:00;1808630;2159509
25. November 2019 09:15;2053631;25.11.2019 09:15:00;2984213;2159523
18. Februar 2020 19:15;2048821;18.02.2020 19:15:00;2532470;2159626
30. Januar 2010 18:15;2044919;30.01.2010 18:15:00;2027770;2159683
17. Dezember 2019 19:00;2045271;17.12.2019 19:00:00;3014285;2159707
2. März 2021 08:45;2051574;02.03.2021 08:45:00;2726740;2159770
2. November 2010 09:00;2055054;02.11.2010 09:00:00;1894539;2159823
25. November 2019 09:30;2057060;25.11.2019 09:30:00;2974943;2159916
18. März 2021 10:45;2055731;18.03.2021 10:45:00;2344201;2159933
29. Januar 2020 19:45;2045221;29.01.2020 19:45:00;2792053;2159951
24. November 2020 13:45;2045789;24.11.2020 13:45:00;2334991;2160103
30. März 2010 11:00;2046980;30.03.2010 11:00:00;1786987;2160108
22. März 2021 11:00;2054493;22.03.2021 11:00:00;2054393;2160167
7. November 2019 11:15;2062905;07.11.2019 11:15:00;2019942;2160407
6. Januar 2020 19:15;2048191;06.01.2020 19:15:00;2378110;2160506
24. November 2020 13:15;2050663;24.11.2020 13:15:00;2343409;2160607
22. November 2019 12:30;2049694;22.11.2019 12:30:00;1975277;2160732
21. März 2011 08:30;2045733;21.03.2011 08:30:00;1768918;2160775
27. Oktober 2010 07:30;2045614;27.10.2010 07:30:00;2560690;2160834
26. November 2019 08:15;2050381;26.11.2019 08:15:00;2510345;2160867
2. November 2011 11:00;2044813;02.11.2011 11:00:00;1955013;2161146
21. Februar 2020 08:15;2046137;21.02.2020 08:15:00;2817979;2161249
14. Oktober 2010 10:45;2045935;14.10.2010 10:45:00;2314633;2161319
19. Februar 2021 09:00;2050689;19.02.2021 09:00:00;2383925;2161405
26. Januar 2021 20:30;2046238;26.01.2021 20:30:00;2527966;2161429
24. Januar 2020 15:00;2048897;24.01.2020 15:00:00;2762060;2161504
25. November 2019 10:30;2055024;25.11.2019 10:30:00;2809298;2161562
5. Februar 2021 10:45;2055422;05.02.2021 10:45:00;2116518;2161694
10. November 2010 16:15;2047157;10.11.2010 16:15:00;1940482;2161876
18. Februar 2020 10:45;2047103;18.02.2020 10:45:00;1897460;2162195
9. Februar 2021 17:15;2061752;09.02.2021 17:15:00;2901273;2162285
5. März 2021 10:00;2048417;05.03.2021 10:00:00;2516215;2162466
24. März 2010 12:00;2053017;24.03.2010 12:00:00;1845822;2162518
31. Oktober 2019 12:00;2045934;31.10.2019 12:00:00;2354596;2162528
2. November 2010 17:15;2048561;02.11.2010 17:15:00;1858190;2162592
7. November 2019 12:15;2062652;07.11.2019 12:15:00;1829480;2162638
22. Januar 2020 20:30;2049829;22.01.2020 20:30:00;2762413;2162683
13. Februar 2021 20:30;2045540;13.02.2021 20:30:00;2574329;2162718
29. März 2010 10:15;2045428;29.03.2010 10:15:00;1872253;2162880
18. Dezember 2020 17:45;2046151;18.12.2020 17:45:00;2137773;2162945
19. März 2021 19:15;2051425;19.03.2021 19:15:00;2751156;2162966
25. November 2019 08:30;2057727;25.11.2019 08:30:00;3148639;2162994
9. Februar 2021 15:30;2057500;09.02.2021 15:30:00;2844593;2163009
8. März 2021 08:45;2055504;08.03.2021 08:45:00;2932491;2163297
16. Dezember 2019 13:45;2047146;16.12.2019 13:45:00;2750888;2163350
6. Januar 2020 08:15;2055663;06.01.2020 08:15:00;1967558;2163402
18. März 2011 08:30;2062623;18.03.2011 08:30:00;1718238;2163493
25. November 2019 12:15;2055325;25.11.2019 12:15:00;2837717;2163501
25. November 2019 17:30;2052863;25.11.2019 17:30:00;3211860;2163515
22. Oktober 2010 12:15;2045998;22.10.2010 12:15:00;2349953;2163634
5. März 2021 10:15;2050607;05.03.2021 10:15:00;2250814;2163709
21. Dezember 2020 12:15;2045150;21.12.2020 12:15:00;2280264;2163770
17. Februar 2020 19:00;2049449;17.02.2020 19:00:00;2996029;2163897
29. März 2010 11:00;2050280;29.03.2010 11:00:00;1866385;2163935
21. November 2019 19:15;2047876;21.11.2019 19:15:00;2748324;2163953
18. Februar 2020 11:30;2046082;18.02.2020 11:30:00;1873126;2164040
26. November 2019 09:15;2053846;26.11.2019 09:15:00;2378675;2164140
11. November 2010 08:15;2047538;11.11.2010 08:15:00;1770900;2164247
9. März 2021 08:15;2059342;09.03.2021 08:15:00;3041599;2164325
10. Dezember 2019 13:15;2055734;10.12.2019 13:15:00;2378046;2164360
11. März 2010 07:15;2046955;11.03.2010 07:15:00;1942370;2164436
17. Februar 2020 18:00;2051215;17.02.2020 18:00:00;2845318;2164443
19. November 2020 18:45;2056493;19.11.2020 18:45:00;2762246;2164448
18. November 2020 18:00;2046250;18.11.2020 18:00:00;2581452;2164537
27. September 2010 12:00;2047141;27.09.2010 12:00:00;2249424;2164545
26. Oktober 2020 18:15;2045042;26.10.2020 18:15:00;2570659;2164572
13. Oktober 2010 11:00;2046953;13.10.2010 11:00:00;2420100;2164770
29. Oktober 2010 12:15;2049785;29.10.2010 12:15:00;1823618;2164852
31. März 2010 12:15;2049380;31.03.2010 12:15:00;2096777;2164882
19. Februar 2021 08:30;2049314;19.02.2021 08:30:00;2374104;2164905
6. Februar 2020 12:45;2045832;06.02.2020 12:45:00;1984868;2164996
22. Dezember 2010 20:00;2050512;22.12.2010 20:00:00;1732094;2165099
4. Januar 2010 08:00;2053675;04.01.2010 08:00:00;1697358;2165106
22. Januar 2021 17:30;2046116;22.01.2021 17:30:00;2302177;2165167
20. Februar 2020 07:45;2056668;20.02.2020 07:45:00;2390602;2165173
2. Februar 2021 13:45;2051326;02.02.2021 13:45:00;1726019;2165239
4. November 2010 18:15;2046942;04.11.2010 18:15:00;2526744;2165262
8. Januar 2021 20:00;2052250;08.01.2021 20:00:00;2790146;2165269
23. Januar 2020 07:00;2057163;23.01.2020 07:00:00;2612836;2165361
10. Dezember 2019 14:15;2050127;10.12.2019 14:15:00;1850159;2165521
3. März 2021 18:45;2044907;03.03.2021 18:45:00;3084692;2165595
18. März 2021 10:30;2058754;18.03.2021 10:30:00;2369853;2165606
14. November 2019 13:00;2049305;14.11.2019 13:00:00;2269701;2165647
19. Februar 2021 08:45;2053184;19.02.2021 08:45:00;2391303;2165654
25. November 2019 18:30;2052608;25.11.2019 18:30:00;3249389;2165666
11. November 2019 12:30;2051685;11.11.2019 12:30:00;2225170;2165746
11. März 2011 19:00;2047927;11.03.2011 19:00:00;1950888;2165845
7. Januar 2011 13:45;2051350;07.01.2011 13:45:00;1576079;2165883
10. Dezember 2019 12:30;2057099;10.12.2019 12:30:00;2588285;2165887
9. November 2010 08:00;2046491;09.11.2010 08:00:00;1904771;2165963
3. März 2020 18:30;2056571;03.03.2020 18:30:00;3190892;2165989
19. Mai 2010 12:00;2047653;19.05.2010 12:00:00;2158483;2166034
7. Dezember 2010 07:15;2055643;07.12.2010 07:15:00;2382162;2166064
7. Dezember 2020 20:15;2053273;07.12.2020 20:15:00;2461730;2166099
8. Januar 2021 14:15;2054669;08.01.2021 14:15:00;2854995;2166134
22. Februar 2010 12:30;2048974;22.02.2010 12:30:00;1712945;2166163
5. März 2020 17:00;2070184;05.03.2020 17:00:00;2169342;2166187
11. November 2010 19:30;2053732;11.11.2010 19:30:00;1911786;2166223
19. Oktober 2010 08:45;2052184;19.10.2010 08:45:00;2279485;2166245
19. Januar 2021 20:15;2049927;19.01.2021 20:15:00;2312705;2166328
9. März 2021 09:00;2062885;09.03.2021 09:00:00;2982290;2166340
18. Oktober 2010 08:45;2054475;18.10.2010 08:45:00;2647735;2166377
18. Dezember 2019 08:15;2051967;18.12.2019 08:15:00;2576657;2166383
9. März 2020 19:30;2045365;09.03.2020 19:30:00;3134414;2166426
12. Februar 2010 23:15;2045196;12.02.2010 23:15:00;1572493;2166455
11. Februar 2021 21:00;2062212;11.02.2021 21:00:00;2309438;2166494
16. März 2011 19:00;2046280;16.03.2011 19:00:00;1957394;2166506
30. September 2010 12:00;2046621;30.09.2010 12:00:00;2743230;2166537
29. November 2019 13:15;2049924;29.11.2019 13:15:00;1848304;2166541
12. Oktober 2010 12:00;2045172;12.10.2010 12:00:00;2097228;2166555
17. Januar 2011 15:00;2051583;17.01.2011 15:00:00;1824492;2166559
8. Dezember 2010 14:15;2054353;08.12.2010 14:15:00;2099558;2166565
20. November 2019 07:45;2056666;20.11.2019 07:45:00;2748004;2166577
6. Februar 2020 13:00;2046260;06.02.2020 13:00:00;1958674;2166614
7. Mai 2010 12:00;2050960;07.05.2010 12:00:00;2563178;2166643
18. Oktober 2010 09:15;2051031;18.10.2010 09:15:00;2589841;2166734
19. November 2010 13:30;2061282;19.11.2010 13:30:00;1848825;2166853
20. November 2019 14:30;2045128;20.11.2019 14:30:00;2726249;2166964
13. Dezember 2019 19:30;2048743;13.12.2019 19:30:00;2635365;2166978
15. Oktober 2020 12:15;2054146;15.10.2020 12:15:00;2599148;2167009
18. November 2019 19:30;2048000;18.11.2019 19:30:00;3002510;2167039
24. November 2020 12:30;2058765;24.11.2020 12:30:00;2477401;2167043
18. März 2021 11:00;2060129;18.03.2021 11:00:00;2299689;2167069
17. März 2021 18:15;2048679;17.03.2021 18:15:00;2498730;2167096
23. November 2020 08:00;2046657;23.11.2020 08:00:00;2750909;2167142
24. Januar 2020 15:15;2054686;24.01.2020 15:15:00;2821362;2167184
23. Februar 2021 08:30;2054540;23.02.2021 08:30:00;2283360;2167200
19. Februar 2020 19:30;2055898;19.02.2020 19:30:00;3075417;2167214
11. November 2019 16:30;2046814;11.11.2019 16:30:00;1999007;2167274
23. Februar 2021 08:15;2056874;23.02.2021 08:15:00;2261014;2167319
9. März 2021 08:30;2062048;09.03.2021 08:30:00;3055717;2167378
21. Februar 2020 09:15;2051110;21.02.2020 09:15:00;2473410;2167395
17. Februar 2020 11:30;2055690;17.02.2020 11:30:00;2112940;2167435
30. März 2011 09:45;2050054;30.03.2011 09:45:00;1885999;2167483
16. Dezember 2019 13:30;2051726;16.12.2019 13:30:00;2760711;2167487
18. Februar 2020 12:00;2051261;18.02.2020 12:00:00;1880024;2167590
27. November 2019 17:15;2052116;27.11.2019 17:15:00;2218457;2167613
9. März 2021 08:45;2061989;09.03.2021 08:45:00;3039603;2167623
4. März 2020 07:45;2051488;04.03.2020 07:45:00;2724487;2167664
15. März 2021 15:00;2046594;15.03.2021 15:00:00;1765179;2167682
4. März 2020 10:45;2050310;04.03.2020 10:45:00;2736038;2167700
27. Januar 2020 17:15;2048064;27.01.2020 17:15:00;2553115;2167740
31. März 2010 11:15;2050136;31.03.2010 11:15:00;2188210;2167742
23. März 2010 11:30;2048772;23.03.2010 11:30:00;1833503;2167765
15. Januar 2021 20:30;2053623;15.01.2021 20:30:00;2595866;2167807
29. November 2019 17:45;2046005;29.11.2019 17:45:00;2572303;2167825
20. Februar 2020 10:45;2053653;20.02.2020 10:45:00;2680285;2167829
3. März 2021 10:00;2054254;03.03.2021 10:00:00;2756124;2167840
22. November 2019 18:30;2047436;22.11.2019 18:30:00;2339113;2167842
5. März 2020 17:30;2066099;05.03.2020 17:30:00;2324405;2167888
28. November 2019 16:30;2048172;28.11.2019 16:30:00;1885694;2167914
8. Dezember 2010 08:00;2054416;08.12.2010 08:00:00;2049439;2167927
17. März 2011 08:15;2054926;17.03.2011 08:15:00;1575996;2167971
10. März 2011 13:30;2045935;10.03.2011 13:30:00;1648110;2168073
27. September 2010 11:45;2050751;27.09.2010 11:45:00;2268885;2168099
27. Oktober 2011 09:00;2044914;27.10.2011 09:00:00;1873079;2168110
7. November 2019 11:00;2066112;07.11.2019 11:00:00;2187678;2168139
11. November 2010 08:30;2058486;11.11.2010 08:30:00;1784254;2168172
26. Oktober 2011 09:45;2049118;26.10.2011 09:45:00;2152152;2168183
18. März 2021 09:45;2059209;18.03.2021 09:45:00;2735159;2168203
19. November 2019 14:30;2048484;19.11.2019 14:30:00;2912732;2168228
24. November 2020 19:30;2055657;24.11.2020 19:30:00;2810719;2168228
13. Februar 2021 13:15;2053618;13.02.2021 13:15:00;1874223;2168269
21. November 2019 13:00;2049192;21.11.2019 13:00:00;2838973;2168283
18. Februar 2011 15:00;2047091;18.02.2011 15:00:00;1900962;2168292
23. November 2020 12:15;2051276;23.11.2020 12:15:00;2448660;2168308
22. März 2021 19:15;2060304;22.03.2021 19:15:00;2719644;2168322
14. Januar 2011 14:45;2046715;14.01.2011 14:45:00;1670713;2168359
10. Dezember 2019 15:30;2049798;10.12.2019 15:30:00;2029267;2168527
5. Februar 2021 08:15;2063641;05.02.2021 08:15:00;2373807;2168548
22. Dezember 2010 14:15;2059634;22.12.2010 14:15:00;1627971;2168619
27. Oktober 2011 12:15;2045124;27.10.2011 12:15:00;1781562;2168621
19. November 2010 12:30;2057017;19.11.2010 12:30:00;1814764;2168636
11. Januar 2021 07:00;2064719;11.01.2021 07:00:00;1973738;2168682
5. März 2021 11:00;2054619;05.03.2021 11:00:00;2034303;2168685
20. Februar 2020 11:15;2047909;20.02.2020 11:15:00;2792741;2168708
19. Februar 2020 14:15;2048407;19.02.2020 14:15:00;1962192;2168734
4. Dezember 2019 20:00;2054429;04.12.2019 20:00:00;3052592;2168769
19. November 2019 12:45;2054821;19.11.2019 12:45:00;2955458;2168821
21. Oktober 2010 08:15;2052296;21.10.2010 08:15:00;2677511;2168835
18. Dezember 2020 18:30;2048441;18.12.2020 18:30:00;2221146;2168853
26. November 2019 10:15;2061743;26.11.2019 10:15:00;2242135;2168870
3. März 2021 10:30;2054004;03.03.2021 10:30:00;2722315;2168894
17. Februar 2021 19:30;2049081;17.02.2021 19:30:00;2372383;2168924
28. Februar 2020 11:15;2045850;28.02.2020 11:15:00;2024735;2168930
4. März 2020 11:00;2053817;04.03.2020 11:00:00;2720929;2168970
29. November 2019 18:00;2048145;29.11.2019 18:00:00;2592954;2168997
9. Februar 2010 20:30;2045170;09.02.2010 20:30:00;2117159;2169018
7. Januar 2010 20:30;2051642;07.01.2010 20:30:00;2035915;2169028
16. März 2011 08:45;2045862;16.03.2011 08:45:00;1838295;2169038
28. Oktober 2011 09:15;2050593;28.10.2011 09:15:00;2094598;2169071
3. November 2010 18:45;2050874;03.11.2010 18:45:00;2562422;2169083
22. März 2011 08:15;2045381;22.03.2011 08:15:00;1729456;2169084
15. November 2010 10:15;2047300;15.11.2010 10:15:00;2064820;2169125
12. April 2010 09:45;2048675;12.04.2010 09:45:00;1972676;2169196
7. Dezember 2010 20:15;2048167;07.12.2010 20:15:00;2243961;2169242
4. Dezember 2019 07:15;2063518;04.12.2019 07:15:00;2688002;2169256
14. Oktober 2010 10:00;2045395;14.10.2010 10:00:00;2357320;2169295
25. November 2019 18:15;2055698;25.11.2019 18:15:00;3260395;2169298
9. November 2010 17:00;2048024;09.11.2010 17:00:00;1934030;2169346
25. November 2019 09:00;2062103;25.11.2019 09:00:00;3119094;2169370
18. Januar 2010 07:30;2050351;18.01.2010 07:30:00;1961899;2169378
5. Januar 2010 20:30;2057891;05.01.2010 20:30:00;1832472;2169418
2. März 2021 08:15;2057248;02.03.2021 08:15:00;2754658;2169458
30. September 2010 11:45;2056868;30.09.2010 11:45:00;2779819;2169463
18. Dezember 2019 11:30;2045076;18.12.2019 11:30:00;2164699;2169531
5. März 2010 18:30;2046578;05.03.2010 18:30:00;1876330;2169609
9. Januar 2021 17:45;2051887;09.01.2021 17:45:00;2614641;2169625
22. März 2011 09:15;2050648;22.03.2011 09:15:00;1742188;2169629
30. März 2011 10:00;2051413;30.03.2011 10:00:00;1894527;2169682
3. März 2010 18:15;2047528;03.03.2010 18:15:00;2226660;2169698
4. Februar 2021 18:15;2062322;04.02.2021 18:15:00;2899494;2169752
20. November 2020 08:45;2055697;20.11.2020 08:45:00;3066638;2169887
21. November 2019 15:15;2045526;21.11.2019 15:15:00;2685200;2169906
13. Dezember 2010 07:00;2049320;13.12.2010 07:00:00;1726144;2169928
17. Dezember 2020 13:15;2048460;17.12.2020 13:15:00;2435370;2169938
24. März 2010 11:45;2046863;24.03.2010 11:45:00;1860242;2170005
29. März 2011 09:00;2049557;29.03.2011 09:00:00;1859469;2170016
10. Januar 2020 12:15;2046820;10.01.2020 12:15:00;2066720;2170078
11. November 2019 13:45;2048141;11.11.2019 13:45:00;1869090;2170116
4. Februar 2011 15:00;2045879;04.02.2011 15:00:00;1866366;2170130
20. Januar 2020 07:15;2065841;20.01.2020 07:15:00;2610685;2170139
4. Januar 2021 19:30;2053903;04.01.2021 19:30:00;2798864;2170140
11. November 2019 13:30;2052413;11.11.2019 13:30:00;1910013;2170148
29. Oktober 2010 07:45;2054324;29.10.2010 07:45:00;2047586;2170154
5. März 2021 10:30;2053049;05.03.2021 10:30:00;2154787;2170164
27. November 2019 17:45;2053377;27.11.2019 17:45:00;2244451;2170173
8. Januar 2020 17:15;2049010;08.01.2020 17:15:00;3086292;2170232
6. März 2020 13:30;2054454;06.03.2020 13:30:00;2572013;2170243
28. März 2011 09:30;2053594;28.03.2011 09:30:00;1713516;2170280
18. März 2021 07:45;2053699;18.03.2021 07:45:00;2795884;2170324
6. Januar 2011 20:15;2048092;06.01.2011 20:15:00;1530865;2170331
12. November 2010 14:30;2058878;12.11.2010 14:30:00;1822425;2170400
18. März 2021 10:15;2065139;18.03.2021 10:15:00;2467961;2170408
31. März 2010 10:30;2053713;31.03.2010 10:30:00;2193456;2170440
29. März 2010 10:45;2053720;29.03.2010 10:45:00;1876972;2170496
16. Dezember 2010 23:30;2047669;16.12.2010 23:30:00;1588386;2170521
30. März 2010 11:30;2050245;30.03.2010 11:30:00;1760607;2170528
12. November 2010 17:30;2052623;12.11.2010 17:30:00;2154380;2170560
10. November 2010 16:30;2054547;10.11.2010 16:30:00;1973284;2170584
1. März 2011 07:30;2045274;01.03.2011 07:30:00;1773022;2170627
25. Oktober 2010 19:45;2045832;25.10.2010 19:45:00;2733722;2170632
14. Januar 2021 07:30;2048867;14.01.2021 07:30:00;1883796;2170669
8. November 2010 16:45;2046665;08.11.2010 16:45:00;2094972;2170723
20. Januar 2021 16:00;2050323;20.01.2021 16:00:00;1929944;2170732
16. Dezember 2020 19:30;2046257;16.12.2020 19:30:00;2528292;2170762
24. November 2020 16:30;2051998;24.11.2020 16:30:00;2608244;2170778
8. Dezember 2010 14:00;2055012;08.12.2010 14:00:00;2134686;2170791
14. November 2019 12:45;2055382;14.11.2019 12:45:00;2260402;2170798
13. November 2019 17:00;2056678;13.11.2019 17:00:00;2865226;2170826
24. Februar 2010 13:45;2047746;24.02.2010 13:45:00;1778597;2170833
24. Oktober 2011 08:30;2044788;24.10.2011 08:30:00;2004216;2170849
18. Dezember 2020 08:00;2053324;18.12.2020 08:00:00;2096988;2170855
4. Februar 2021 19:00;2062215;04.02.2021 19:00:00;2855804;2170870
12. Februar 2020 07:45;2054591;12.02.2020 07:45:00;2157704;2170893
2. Dezember 2019 20:15;2054088;02.12.2019 20:15:00;2567345;2170938
21. Februar 2020 09:30;2052316;21.02.2020 09:30:00;2435728;2170975
14. November 2019 07:30;2054216;14.11.2019 07:30:00;2510783;2170982
26. Oktober 2011 10:00;2052599;26.10.2011 10:00:00;2148479;2171028
12. Dezember 2019 20:30;2054178;12.12.2019 20:30:00;2232075;2171031
19. November 2019 16:00;2049112;19.11.2019 16:00:00;3048510;2171087
8. November 2010 12:30;2057692;08.11.2010 12:30:00;1708004;2171097
29. November 2019 13:45;2053660;29.11.2019 13:45:00;1839095;2171101
21. Januar 2020 20:30;2054420;21.01.2020 20:30:00;2470653;2171105
3. November 2020 12:00;2047225;03.11.2020 12:00:00;1992956;2171118
15. März 2021 18:00;2048855;15.03.2021 18:00:00;2465008;2171194
20. November 2019 16:30;2055630;20.11.2019 16:30:00;2973262;2171202
2. November 2010 18:45;2054826;02.11.2010 18:45:00;2489290;2171204
29. Dezember 2010 18:00;2058299;29.12.2010 18:00:00;2126179;2171220
18. Dezember 2019 11:00;2048598;18.12.2019 11:00:00;2267788;2171285
18. Dezember 2020 18:15;2051617;18.12.2020 18:15:00;2219640;2171286
12. Januar 2011 07:30;2053641;12.01.2011 07:30:00;1737156;2171350
4. März 2020 18:45;2055179;04.03.2020 18:45:00;3292886;2171369
27. Januar 2020 07:30;2051231;27.01.2020 07:30:00;2353585;2171372
11. Dezember 2020 07:00;2056378;11.12.2020 07:00:00;2213772;2171395
12. November 2019 17:15;2049519;12.11.2019 17:15:00;2852602;2171460
8. November 2010 13:15;2057958;08.11.2010 13:15:00;1736815;2171463
26. November 2019 17:15;2060422;26.11.2019 17:15:00;2789697;2171471
26. November 2020 07:30;2059124;26.11.2020 07:30:00;2748066;2171474
14. Dezember 2010 23:30;2048041;14.12.2010 23:30:00;1635602;2171478
29. Dezember 2010 18:30;2056645;29.12.2010 18:30:00;2149566;2171500
18. Oktober 2010 09:00;2052076;18.10.2010 09:00:00;2642265;2171583
21. Oktober 2011 08:45;2050116;21.10.2011 08:45:00;2492692;2171591
13. Januar 2020 14:15;2051765;13.01.2020 14:15:00;2091278;2171688
1. März 2021 08:45;2061193;01.03.2021 08:45:00;3000614;2171711
25. Oktober 2010 16:00;2045953;25.10.2010 16:00:00;2279739;2171737
13. Januar 2011 16:00;2047719;13.01.2011 16:00:00;1780472;2171756
5. März 2020 17:45;2069993;05.03.2020 17:45:00;2352736;2171764
26. Februar 2020 17:15;2052304;26.02.2020 17:15:00;2786462;2171782
30. März 2011 08:45;2048680;30.03.2011 08:45:00;1998136;2171795
18. Dezember 2019 10:45;2045313;18.12.2019 10:45:00;2259512;2171800
8. November 2010 14:15;2046416;08.11.2010 14:15:00;1863778;2171803
10. Februar 2021 20:30;2054492;10.02.2021 20:30:00;2714982;2171811
18. Dezember 2019 09:15;2049802;18.12.2019 09:15:00;2511988;2171831
29. März 2011 09:45;2053293;29.03.2011 09:45:00;1828993;2171854
25. Januar 2021 07:30;2063254;25.01.2021 07:30:00;2737927;2171867
5. Februar 2020 20:00;2050346;05.02.2020 20:00:00;2880894;2171873
23. Februar 2021 09:00;2047948;23.02.2021 09:00:00;2251857;2171879
15. Oktober 2010 11:30;2054795;15.10.2010 11:30:00;2535516;2171914
23. Februar 2010 08:00;2053200;23.02.2010 08:00:00;1701354;2171917
7. Januar 2011 19:30;2059465;07.01.2011 19:30:00;1554643;2171935
28. Oktober 2011 08:30;2049859;28.10.2011 08:30:00;2046534;2171959
21. März 2011 09:15;2053807;21.03.2011 09:15:00;1783483;2171980
29. November 2019 12:45;2058204;29.11.2019 12:45:00;1963521;2171992
12. März 2010 15:30;2055896;12.03.2010 15:30:00;1530804;2172009
5. Oktober 2010 11:30;2052797;05.10.2010 11:30:00;2215762;2172104
10. November 2010 08:30;2058310;10.11.2010 08:30:00;2024797;2172105
17. Januar 2020 17:15;2046164;17.01.2020 17:15:00;2595648;2172135
2. März 2020 12:45;2049230;02.03.2020 12:45:00;2093978;2172139
3. Dezember 2010 21:45;2048075;03.12.2010 21:45:00;2122596;2172169
11. November 2019 08:00;2058858;11.11.2019 08:00:00;1998263;2172244
17. Januar 2011 16:45;2046480;17.01.2011 16:45:00;1913732;2172258
