Minute von Zeitstempel;Summe endverbrauchte Energie;Zeitstempel;Summe produzierte Energie;Summe verbrauchte Energie
15. Februar 2010 18:45;2308620;15.02.2010 18:45:00;2688927;2448896
15. Februar 2010 11:45;2310719;15.02.2010 11:45:00;2441157;2448993
11. Januar 2021 08:45;2322216;11.01.2021 08:45:00;2616180;2449121
9. Dezember 2020 11:30;2316637;09.12.2020 11:30:00;2512939;2449200
16. Dezember 2010 13:30;2321089;16.12.2010 13:30:00;2295113;2449255
2. Dezember 2010 11:15;2317328;02.12.2010 11:15:00;2944011;2449293
9. Dezember 2010 18:45;2312788;09.12.2010 18:45:00;2780911;2449311
9. März 2010 11:00;2301226;09.03.2010 11:00:00;2523878;2449407
16. Dezember 2010 13:45;2315998;16.12.2010 13:45:00;2295447;2449736
17. Dezember 2010 13:45;2310233;17.12.2010 13:45:00;2729021;2449767
28. Januar 2010 11:15;2300647;28.01.2010 11:15:00;2455731;2449801
1. Februar 2010 18:30;2306703;01.02.2010 18:30:00;2825914;2449871
9. Dezember 2010 17:30;2318031;09.12.2010 17:30:00;2844557;2449899
11. Januar 2010 12:00;2314697;11.01.2010 12:00:00;2748229;2449915
12. Januar 2021 08:45;2317228;12.01.2021 08:45:00;2588191;2449960
10. Dezember 2010 09:45;2311491;10.12.2010 09:45:00;2735621;2450098
14. Dezember 2010 15:15;2325547;14.12.2010 15:15:00;2498398;2450120
14. Dezember 2010 15:30;2317375;14.12.2010 15:30:00;2498741;2450148
23. Januar 2020 10:45;2321798;23.01.2020 10:45:00;3271864;2450191
11. Februar 2010 18:15;2310096;11.02.2010 18:15:00;2927355;2450432
27. Januar 2010 18:15;2314963;27.01.2010 18:15:00;2863910;2450435
28. Januar 2011 09:00;2313166;28.01.2011 09:00:00;2726465;2450456
25. Januar 2011 18:45;2312758;25.01.2011 18:45:00;2766580;2450785
20. Januar 2011 19:00;2306267;20.01.2011 19:00:00;2650808;2450826
30. November 2010 10:30;2312980;30.11.2010 10:30:00;2838864;2450834
11. Januar 2021 11:30;2302334;11.01.2021 11:30:00;2779878;2450928
15. Dezember 2010 13:00;2322274;15.12.2010 13:00:00;2741744;2450999
2. Dezember 2010 19:30;2308837;02.12.2010 19:30:00;3043051;2451052
11. Januar 2010 11:45;2315795;11.01.2010 11:45:00;2762106;2451073
14. Dezember 2010 19:45;2315084;14.12.2010 19:45:00;2914255;2451119
15. Februar 2010 11:00;2312760;15.02.2010 11:00:00;2487681;2451229
11. Januar 2021 18:15;2324620;11.01.2021 18:15:00;3065635;2451266
12. Januar 2010 18:00;2306687;12.01.2010 18:00:00;2799307;2451646
10. Dezember 2010 12:15;2321655;10.12.2010 12:15:00;2385330;2451729
27. Januar 2011 11:30;2316430;27.01.2011 11:30:00;2191408;2451734
11. Februar 2021 18:30;2317144;11.02.2021 18:30:00;3078690;2451854
2. Dezember 2010 09:00;2319043;02.12.2010 09:00:00;2699260;2451897
2. Februar 2011 08:15;2303655;02.02.2011 08:15:00;2371297;2451899
14. Dezember 2010 07:45;2310452;14.12.2010 07:45:00;2830464;2451912
3. Dezember 2010 18:45;2310171;03.12.2010 18:45:00;2967606;2452038
26. Januar 2011 08:45;2313907;26.01.2011 08:45:00;2253182;2452101
27. Januar 2011 09:45;2318314;27.01.2011 09:45:00;2283938;2452108
28. Januar 2011 10:30;2311101;28.01.2011 10:30:00;2439533;2452219
12. Februar 2010 09:45;2309535;12.02.2010 09:45:00;2762807;2452402
11. Januar 2021 10:45;2324707;11.01.2021 10:45:00;2805721;2452548
6. Dezember 2010 12:15;2314066;06.12.2010 12:15:00;2751381;2452770
17. Dezember 2010 08:00;2311454;17.12.2010 08:00:00;2625490;2453240
13. Dezember 2010 17:00;2325380;13.12.2010 17:00:00;2703694;2453293
23. Januar 2020 12:00;2324774;23.01.2020 12:00:00;3166347;2453362
23. Januar 2020 10:15;2327218;23.01.2020 10:15:00;3275967;2453489
11. Februar 2010 18:45;2305428;11.02.2010 18:45:00;2955195;2453511
12. Januar 2021 18:00;2300507;12.01.2021 18:00:00;3101332;2453558
12. Januar 2021 09:00;2317201;12.01.2021 09:00:00;2646318;2453641
2. Dezember 2010 17:00;2306998;02.12.2010 17:00:00;3052619;2453667
30. November 2010 09:45;2315194;30.11.2010 09:45:00;2874010;2453671
10. Dezember 2010 09:00;2313264;10.12.2010 09:00:00;2706797;2453683
26. Januar 2011 11:00;2315452;26.01.2011 11:00:00;2194705;2453733
10. Dezember 2020 10:15;2323585;10.12.2020 10:15:00;2787275;2453765
12. Januar 2021 08:30;2317575;12.01.2021 08:30:00;2582662;2453880
26. Januar 2011 18:00;2312066;26.01.2011 18:00:00;2621342;2453925
11. Januar 2021 09:30;2327278;11.01.2021 09:30:00;2803695;2454427
20. Januar 2011 11:00;2312056;20.01.2011 11:00:00;2441277;2454533
30. November 2010 10:00;2316732;30.11.2010 10:00:00;2869006;2454563
1. Dezember 2010 14:00;2312935;01.12.2010 14:00:00;2572451;2454644
15. Februar 2010 10:00;2311132;15.02.2010 10:00:00;2561582;2454688
5. Februar 2010 12:00;2302197;05.02.2010 12:00:00;2347083;2454708
20. Januar 2011 17:45;2306710;20.01.2011 17:45:00;2593628;2454816
1. Februar 2010 18:15;2306461;01.02.2010 18:15:00;2824930;2454839
26. Januar 2021 12:00;2302153;26.01.2021 12:00:00;2795022;2454895
11. Februar 2010 10:30;2307776;11.02.2010 10:30:00;2535939;2454930
11. Januar 2021 18:30;2325462;11.01.2021 18:30:00;3113021;2454997
24. Januar 2011 12:15;2312569;24.01.2011 12:15:00;2638398;2455006
27. Januar 2010 11:15;2309775;27.01.2010 11:15:00;2756879;2455170
12. Januar 2021 09:30;2321064;12.01.2021 09:30:00;2900339;2455183
26. Januar 2011 18:15;2316456;26.01.2011 18:15:00;2648173;2455253
27. Januar 2011 10:30;2323595;27.01.2011 10:30:00;2163676;2455255
3. Februar 2011 18:30;2315199;03.02.2011 18:30:00;2378475;2455404
23. Januar 2020 11:00;2322616;23.01.2020 11:00:00;3272130;2455612
26. Januar 2011 10:45;2320870;26.01.2011 10:45:00;2203464;2455785
28. Januar 2010 10:00;2310546;28.01.2010 10:00:00;2640094;2455806
6. Dezember 2010 18:15;2314141;06.12.2010 18:15:00;3016779;2456039
11. Januar 2010 18:30;2317054;11.01.2010 18:30:00;2709681;2456076
11. Februar 2010 18:30;2309183;11.02.2010 18:30:00;2961309;2456083
28. Januar 2011 09:45;2315577;28.01.2011 09:45:00;2612070;2456297
20. Januar 2010 12:00;2306109;20.01.2010 12:00:00;2213105;2456526
27. Januar 2010 18:30;2311708;27.01.2010 18:30:00;2888861;2456567
30. November 2010 19:00;2313787;30.11.2010 19:00:00;2885963;2456578
2. Februar 2011 12:15;2305868;02.02.2011 12:15:00;2065652;2456601
30. November 2010 08:30;2319431;30.11.2010 08:30:00;2621082;2456617
26. Januar 2011 09:00;2315288;26.01.2011 09:00:00;2252726;2456659
21. Januar 2011 09:15;2312280;21.01.2011 09:15:00;2723211;2457076
10. Dezember 2010 10:15;2318825;10.12.2010 10:15:00;2874214;2457134
12. Januar 2021 13:15;2329060;12.01.2021 13:15:00;2645233;2457236
31. Januar 2011 13:30;2322008;31.01.2011 13:30:00;2666687;2457477
22. Februar 2011 11:45;2311079;22.02.2011 11:45:00;2207759;2457796
29. November 2010 17:45;2313043;29.11.2010 17:45:00;3024837;2457799
23. Januar 2020 09:45;2328967;23.01.2020 09:45:00;3312094;2457960
16. Dezember 2010 12:15;2323523;16.12.2010 12:15:00;2377215;2457987
28. Januar 2021 12:15;2312671;28.01.2021 12:15:00;2165787;2458001
28. Januar 2011 12:00;2317148;28.01.2011 12:00:00;2396550;2458095
21. Januar 2011 18:00;2315565;21.01.2011 18:00:00;2627779;2458494
28. Januar 2010 09:45;2313517;28.01.2010 09:45:00;2648412;2458690
27. Januar 2010 09:00;2316247;27.01.2010 09:00:00;2735103;2458717
11. Januar 2021 09:00;2330025;11.01.2021 09:00:00;2645465;2458759
26. Januar 2010 11:30;2314899;26.01.2010 11:30:00;2924258;2458887
14. Dezember 2010 12:30;2325095;14.12.2010 12:30:00;2501700;2458894
26. Januar 2011 09:45;2317589;26.01.2011 09:45:00;2238545;2458998
11. Februar 2010 10:15;2308909;11.02.2010 10:15:00;2534232;2459273
14. Dezember 2010 15:45;2322327;14.12.2010 15:45:00;2503940;2459384
2. Februar 2011 19:00;2316453;02.02.2011 19:00:00;2593136;2459390
26. Januar 2010 10:30;2306842;26.01.2010 10:30:00;2929643;2459489
29. November 2010 18:15;2316372;29.11.2010 18:15:00;2926580;2459606
14. Dezember 2010 15:00;2318784;14.12.2010 15:00:00;2484683;2459730
1. Februar 2011 17:45;2311129;01.02.2011 17:45:00;2969495;2459806
28. Januar 2011 10:00;2327788;28.01.2011 10:00:00;2602404;2459814
12. Januar 2021 13:45;2327788;12.01.2021 13:45:00;2624717;2459826
12. Februar 2010 10:00;2311235;12.02.2010 10:00:00;2759898;2459867
3. Dezember 2010 11:15;2324934;03.12.2010 11:15:00;3033211;2459995
21. Februar 2011 11:45;2303448;21.02.2011 11:45:00;2007101;2460034
3. Februar 2011 09:30;2308678;03.02.2011 09:30:00;2279229;2460050
2. Dezember 2010 11:30;2322355;02.12.2010 11:30:00;2946903;2460198
21. Januar 2011 09:00;2320614;21.01.2011 09:00:00;2699277;2460319
11. Januar 2010 18:15;2324567;11.01.2010 18:15:00;2718775;2460372
9. Dezember 2010 17:45;2327420;09.12.2010 17:45:00;2852610;2460382
17. Dezember 2010 19:00;2318483;17.12.2010 19:00:00;2858941;2460409
28. Januar 2010 10:45;2318517;28.01.2010 10:45:00;2550396;2460439
15. Dezember 2010 16:15;2333504;15.12.2010 16:15:00;2828994;2460494
25. Januar 2011 12:15;2318783;25.01.2011 12:15:00;2365678;2460530
24. Januar 2011 19:00;2311985;24.01.2011 19:00:00;2982076;2460545
4. Januar 2011 17:45;2324697;04.01.2011 17:45:00;2745995;2460555
1. Februar 2011 13:15;2314907;01.02.2011 13:15:00;2682373;2460561
6. Dezember 2010 17:00;2321664;06.12.2010 17:00:00;3003416;2460582
11. Januar 2021 18:00;2330870;11.01.2021 18:00:00;2914550;2460625
11. Februar 2010 12:00;2309642;11.02.2010 12:00:00;2635303;2460636
25. Januar 2011 08:00;2312390;25.01.2011 08:00:00;2552409;2460636
3. Februar 2011 09:15;2313926;03.02.2011 09:15:00;2275168;2460791
21. Januar 2011 10:45;2316812;21.01.2011 10:45:00;2666859;2460830
15. Dezember 2010 19:45;2320390;15.12.2010 19:45:00;3044273;2461110
9. Dezember 2010 18:30;2325193;09.12.2010 18:30:00;2796684;2461138
31. Januar 2011 18:45;2318314;31.01.2011 18:45:00;3174725;2461160
1. Dezember 2010 19:15;2302057;01.12.2010 19:15:00;3009746;2461255
2. Dezember 2020 11:45;2324173;02.12.2020 11:45:00;3068135;2461408
6. Dezember 2010 10:15;2319876;06.12.2010 10:15:00;2810078;2461441
1. Februar 2011 08:15;2315489;01.02.2011 08:15:00;2735762;2461469
13. Dezember 2010 09:45;2320833;13.12.2010 09:45:00;2830947;2461813
21. Januar 2011 18:15;2320663;21.01.2011 18:15:00;2727392;2461927
29. November 2010 18:00;2329044;29.11.2010 18:00:00;3026465;2461948
2. Dezember 2020 12:00;2333559;02.12.2020 12:00:00;3076750;2462017
1. Februar 2011 14:15;2315212;01.02.2011 14:15:00;2675120;2462021
29. November 2010 18:30;2319620;29.11.2010 18:30:00;2925215;2462032
13. Dezember 2010 10:00;2317026;13.12.2010 10:00:00;2819419;2462129
10. Dezember 2010 11:15;2325112;10.12.2010 11:15:00;2646507;2462182
20. Januar 2011 18:45;2321093;20.01.2011 18:45:00;2685257;2462244
14. Dezember 2010 16:00;2333454;14.12.2010 16:00:00;2539898;2462330
5. Februar 2010 11:45;2309163;05.02.2010 11:45:00;2358906;2462536
12. Januar 2021 14:00;2326958;12.01.2021 14:00:00;2609034;2462552
15. Dezember 2010 14:45;2327378;15.12.2010 14:45:00;2749541;2462598
26. Januar 2011 10:00;2326699;26.01.2011 10:00:00;2237898;2462610
13. Dezember 2010 10:15;2328679;13.12.2010 10:15:00;2732518;2462619
3. Dezember 2010 17:15;2316559;03.12.2010 17:15:00;3039892;2462663
21. Januar 2011 09:30;2320502;21.01.2011 09:30:00;2737154;2462722
30. November 2010 11:00;2323657;30.11.2010 11:00:00;2847115;2462767
28. Januar 2011 10:15;2315366;28.01.2011 10:15:00;2462095;2462799
11. Januar 2021 10:00;2334339;11.01.2021 10:00:00;2797205;2462932
2. Dezember 2010 10:15;2328712;02.12.2010 10:15:00;2922295;2462951
21. Januar 2011 10:15;2319635;21.01.2011 10:15:00;2671725;2462977
6. Dezember 2010 11:15;2320738;06.12.2010 11:15:00;2791394;2463009
21. Januar 2011 11:00;2321371;21.01.2011 11:00:00;2652291;2463209
31. Januar 2011 18:00;2319386;31.01.2011 18:00:00;2976785;2463542
13. Dezember 2010 10:45;2325675;13.12.2010 10:45:00;2721926;2463611
15. Dezember 2010 07:45;2326538;15.12.2010 07:45:00;2569774;2463620
27. Januar 2010 10:15;2325943;27.01.2010 10:15:00;2800790;2463645
27. Januar 2010 11:30;2324054;27.01.2010 11:30:00;2757345;2463914
14. Dezember 2010 13:15;2321202;14.12.2010 13:15:00;2519497;2464204
9. März 2010 11:45;2321626;09.03.2010 11:45:00;2452000;2464296
28. Januar 2010 11:30;2318469;28.01.2010 11:30:00;2460190;2464410
1. Dezember 2010 13:30;2317072;01.12.2010 13:30:00;2580780;2464480
1. Dezember 2020 11:30;2322404;01.12.2020 11:30:00;2789282;2464537
21. Januar 2011 18:30;2321368;21.01.2011 18:30:00;2750392;2464720
31. Januar 2011 13:45;2327376;31.01.2011 13:45:00;2672168;2464783
24. Februar 2011 12:00;2301658;24.02.2011 12:00:00;2008323;2464840
6. Dezember 2010 17:45;2320594;06.12.2010 17:45:00;3123313;2464886
31. Januar 2011 09:15;2322676;31.01.2011 09:15:00;2749292;2465136
2. Februar 2011 11:15;2311355;02.02.2011 11:15:00;2297396;2465155
13. Dezember 2010 11:30;2332662;13.12.2010 11:30:00;2729539;2465208
15. Dezember 2010 14:30;2335147;15.12.2010 14:30:00;2758113;2465387
6. Dezember 2010 10:30;2321538;06.12.2010 10:30:00;2821633;2465451
11. März 2010 12:00;2319677;11.03.2010 12:00:00;2534962;2465536
27. Januar 2011 10:15;2326587;27.01.2011 10:15:00;2186438;2465583
11. Februar 2010 11:00;2315385;11.02.2010 11:00:00;2546738;2465694
23. Januar 2020 10:00;2335849;23.01.2020 10:00:00;3324691;2465905
6. Dezember 2010 17:30;2321996;06.12.2010 17:30:00;3135256;2465986
1. Dezember 2010 14:15;2307774;01.12.2010 14:15:00;2567686;2466070
12. Januar 2021 12:30;2340188;12.01.2021 12:30:00;2704906;2466087
6. Dezember 2010 18:00;2320746;06.12.2010 18:00:00;3120366;2466268
26. Januar 2010 11:00;2323203;26.01.2010 11:00:00;2944069;2466362
28. Januar 2010 10:15;2312873;28.01.2010 10:15:00;2552882;2466676
1. Dezember 2010 09:45;2315414;01.12.2010 09:45:00;2800525;2466694
20. Januar 2011 18:00;2322175;20.01.2011 18:00:00;2614773;2466772
26. Januar 2010 10:45;2320871;26.01.2010 10:45:00;2944162;2466801
1. Dezember 2020 11:00;2324899;01.12.2020 11:00:00;2744130;2466913
11. Januar 2021 10:30;2340617;11.01.2021 10:30:00;2829445;2467119
11. Januar 2021 12:00;2331325;11.01.2021 12:00:00;2781672;2467152
1. Dezember 2010 13:45;2325436;01.12.2010 13:45:00;2588404;2467261
11. Januar 2021 11:45;2314994;11.01.2021 11:45:00;2790428;2467388
10. Dezember 2010 10:30;2324556;10.12.2010 10:30:00;2891031;2467447
21. Januar 2011 10:30;2326142;21.01.2011 10:30:00;2673472;2467457
27. Januar 2011 10:00;2332329;27.01.2011 10:00:00;2286918;2467565
24. Januar 2011 08:00;2314259;24.01.2011 08:00:00;2510534;2467601
10. Dezember 2020 12:00;2337017;10.12.2020 12:00:00;2852821;2467680
4. Januar 2011 18:30;2327931;04.01.2011 18:30:00;2883430;2467766
17. Dezember 2010 08:15;2334565;17.12.2010 08:15:00;2748541;2467791
27. Januar 2011 09:00;2324666;27.01.2011 09:00:00;2344284;2468135
