Minute von Zeitstempel;Summe endverbrauchte Energie;Zeitstempel;Summe produzierte Energie;Summe verbrauchte Energie
30. November 2020 11:45;2302894;30.11.2020 11:45:00;2451142;2425007
10. Dezember 2020 09:15;2302819;10.12.2020 09:15:00;2694750;2427109
12. Januar 2021 13:00;2300760;12.01.2021 13:00:00;2675716;2427586
21. Januar 2020 10:00;2305465;21.01.2020 10:00:00;3153426;2428513
23. Januar 2020 08:30;2301912;23.01.2020 08:30:00;3322135;2428678
15. Dezember 2010 15:30;2305909;15.12.2010 15:30:00;2691101;2429677
10. Dezember 2010 08:45;2301573;10.12.2010 08:45:00;2682335;2430592
25. Januar 2021 11:45;2305955;25.01.2021 11:45:00;2657414;2431254
11. Januar 2021 17:45;2303541;11.01.2021 17:45:00;2855102;2431676
10. Dezember 2020 12:15;2307553;10.12.2020 12:15:00;2754227;2431867
17. Dezember 2010 13:30;2302110;17.12.2010 13:30:00;2712683;2432868
11. Februar 2021 18:15;2302419;11.02.2021 18:15:00;3030091;2433145
12. Februar 2021 13:30;2309555;12.02.2021 13:30:00;2459766;2433293
21. Januar 2020 09:00;2309452;21.01.2020 09:00:00;3276608;2433670
23. Januar 2020 08:45;2306377;23.01.2020 08:45:00;3333882;2433955
21. Januar 2020 08:45;2307476;21.01.2020 08:45:00;3275512;2434100
10. Dezember 2020 11:30;2306056;10.12.2020 11:30:00;2836767;2434622
13. Dezember 2010 09:30;2300545;13.12.2010 09:30:00;2811041;2434988
2. Dezember 2010 12:15;2300478;02.12.2010 12:15:00;2737792;2435979
14. Dezember 2010 13:00;2300559;14.12.2010 13:00:00;2477180;2436104
16. Dezember 2010 16:15;2309927;16.12.2010 16:15:00;2528054;2436187
23. Januar 2020 11:30;2308279;23.01.2020 11:30:00;3146524;2436454
11. Februar 2021 18:45;2304530;11.02.2021 18:45:00;3034255;2436590
27. Januar 2011 08:15;2302735;27.01.2011 08:15:00;2310667;2437028
21. Januar 2011 08:15;2308212;21.01.2011 08:15:00;2648148;2437240
13. Dezember 2010 12:15;2303031;13.12.2010 12:15:00;2622049;2437316
10. Dezember 2010 09:30;2305159;10.12.2010 09:30:00;2719692;2437355
1. Februar 2010 09:00;2305447;01.02.2010 09:00:00;2374884;2437526
11. Januar 2010 10:45;2309502;11.01.2010 10:45:00;2746956;2437975
12. Februar 2010 12:00;2300890;12.02.2010 12:00:00;2385155;2438005
15. Februar 2010 18:30;2304537;15.02.2010 18:30:00;2674138;2438044
5. Januar 2011 18:15;2304054;05.01.2011 18:15:00;2688298;2438205
10. Januar 2011 11:45;2308693;10.01.2011 11:45:00;2350092;2438240
1. Dezember 2010 13:15;2301432;01.12.2010 13:15:00;2562396;2438257
17. Dezember 2010 14:00;2305869;17.12.2010 14:00:00;2704621;2438278
3. Dezember 2010 12:15;2303696;03.12.2010 12:15:00;2888240;2438453
1. Februar 2010 09:45;2302263;01.02.2010 09:45:00;2490637;2438652
24. Januar 2011 19:15;2300888;24.01.2011 19:15:00;2806562;2438990
30. November 2010 16:45;2306382;30.11.2010 16:45:00;2791501;2439045
29. November 2010 18:45;2302960;29.11.2010 18:45:00;2898310;2439082
26. Januar 2011 11:30;2306851;26.01.2011 11:30:00;2160321;2439478
15. Februar 2010 09:45;2300728;15.02.2010 09:45:00;2555122;2439497
15. Februar 2010 10:30;2302621;15.02.2010 10:30:00;2477406;2439528
17. Dezember 2010 17:00;2307418;17.12.2010 17:00:00;2709106;2439819
15. Februar 2010 10:15;2306553;15.02.2010 10:15:00;2491454;2439883
27. Januar 2011 09:15;2301342;27.01.2011 09:15:00;2274157;2439905
26. Januar 2010 18:30;2301032;26.01.2010 18:30:00;3002439;2440036
1. Februar 2010 10:30;2301357;01.02.2010 10:30:00;2509569;2440142
27. Januar 2011 18:30;2303635;27.01.2011 18:30:00;2559902;2440168
12. Februar 2021 08:30;2320309;12.02.2021 08:30:00;2622109;2440358
9. Dezember 2020 11:00;2307069;09.12.2020 11:00:00;2492455;2440359
13. Dezember 2010 11:15;2305241;13.12.2010 11:15:00;2709007;2440590
30. November 2010 09:30;2304055;30.11.2010 09:30:00;2861728;2440673
13. Januar 2010 12:00;2305888;13.01.2010 12:00:00;2310519;2441170
30. November 2020 12:00;2313989;30.11.2020 12:00:00;2460429;2441349
23. Januar 2020 09:00;2315016;23.01.2020 09:00:00;3327173;2441380
1. Dezember 2010 08:45;2300831;01.12.2010 08:45:00;2560289;2441512
15. Dezember 2010 15:45;2314922;15.12.2010 15:45:00;2704543;2441622
23. Januar 2020 11:45;2313011;23.01.2020 11:45:00;3167150;2441802
30. November 2010 10:45;2301935;30.11.2010 10:45:00;2828552;2442036
12. Januar 2021 14:30;2300728;12.01.2021 14:30:00;2670680;2442118
20. Januar 2011 11:30;2300415;20.01.2011 11:30:00;2329131;2442248
10. Januar 2011 12:00;2311425;10.01.2011 12:00:00;2339939;2442441
10. Dezember 2020 09:45;2314835;10.12.2020 09:45:00;2731626;2442695
28. Januar 2011 08:45;2307896;28.01.2011 08:45:00;2733796;2442862
28. Februar 2011 11:45;2301506;28.02.2011 11:45:00;2181862;2442905
14. Dezember 2010 12:45;2300520;14.12.2010 12:45:00;2479294;2442923
11. Januar 2021 09:15;2314413;11.01.2021 09:15:00;2787678;2442934
27. Januar 2011 18:15;2309475;27.01.2011 18:15:00;2540157;2443067
11. Januar 2010 17:45;2303466;11.01.2010 17:45:00;2801924;2443150
31. Januar 2011 13:15;2306024;31.01.2011 13:15:00;2652066;2443265
23. Januar 2020 09:15;2316214;23.01.2020 09:15:00;3309875;2443314
28. Januar 2011 11:00;2305061;28.01.2011 11:00:00;2425436;2443488
9. Dezember 2010 17:15;2309448;09.12.2010 17:15:00;2818487;2443795
4. Januar 2011 18:45;2306219;04.01.2011 18:45:00;2861026;2443952
21. Januar 2011 08:30;2313533;21.01.2011 08:30:00;2672829;2443983
15. Dezember 2010 15:00;2318738;15.12.2010 15:00:00;2734465;2444020
21. Januar 2011 11:30;2304773;21.01.2011 11:30:00;2483014;2444111
11. Dezember 2020 10:15;2300739;11.12.2020 10:15:00;2734024;2444115
12. Januar 2010 11:45;2302386;12.01.2010 11:45:00;2928502;2444180
1. Dezember 2020 10:45;2302275;01.12.2020 10:45:00;2736597;2444204
4. Dezember 2020 12:00;2303909;04.12.2020 12:00:00;2832258;2444281
12. Januar 2010 12:00;2303440;12.01.2010 12:00:00;2901518;2444295
23. Januar 2020 09:30;2315740;23.01.2020 09:30:00;3311369;2444305
12. Januar 2010 18:15;2304854;12.01.2010 18:15:00;2871763;2444337
16. Dezember 2010 14:00;2316458;16.12.2010 14:00:00;2302509;2444445
15. Februar 2010 19:00;2307750;15.02.2010 19:00:00;2661986;2444608
14. Dezember 2010 14:45;2317516;14.12.2010 14:45:00;2475372;2444668
11. Januar 2010 11:00;2306549;11.01.2010 11:00:00;2745757;2444726
11. Februar 2021 19:00;2311694;11.02.2021 19:00:00;3047801;2444761
3. Januar 2011 18:15;2311567;03.01.2011 18:15:00;2649098;2444804
11. Februar 2010 10:00;2305549;11.02.2010 10:00:00;2566777;2444875
12. Januar 2021 12:45;2317129;12.01.2021 12:45:00;2684561;2444923
3. Februar 2011 08:30;2301325;03.02.2011 08:30:00;2212396;2444999
30. November 2010 11:30;2312668;30.11.2010 11:30:00;2825301;2445055
11. Dezember 2020 12:15;2307654;11.12.2020 12:15:00;2511196;2445077
19. Januar 2021 08:30;2311860;19.01.2021 08:30:00;2718154;2445092
12. Januar 2021 14:15;2306251;12.01.2021 14:15:00;2656684;2445115
3. Februar 2011 12:00;2302210;03.02.2011 12:00:00;2179488;2445348
15. Dezember 2010 15:15;2313120;15.12.2010 15:15:00;2705191;2445522
30. November 2010 10:15;2307389;30.11.2010 10:15:00;2837056;2445563
12. Februar 2010 11:45;2303304;12.02.2010 11:45:00;2391064;2445816
6. Dezember 2010 10:00;2310138;06.12.2010 10:00:00;2757590;2445837
26. Januar 2011 09:30;2304336;26.01.2011 09:30:00;2219625;2445848
10. Februar 2010 11:45;2302481;10.02.2010 11:45:00;2597530;2446061
12. Februar 2021 13:15;2319471;12.02.2021 13:15:00;2469212;2446099
10. Dezember 2020 10:45;2317411;10.12.2020 10:45:00;2804508;2446111
1. Februar 2010 10:00;2311995;01.02.2010 10:00:00;2501582;2446144
12. Februar 2010 11:00;2305244;12.02.2010 11:00:00;2618828;2446166
25. Januar 2021 12:00;2318698;25.01.2021 12:00:00;2638623;2446202
17. Dezember 2010 12:30;2312052;17.12.2010 12:30:00;2805266;2446303
26. Januar 2010 18:15;2308196;26.01.2010 18:15:00;3000705;2446345
31. Januar 2011 08:30;2302553;31.01.2011 08:30:00;2906560;2446538
27. Januar 2011 08:30;2306216;27.01.2011 08:30:00;2324309;2446544
27. Januar 2010 09:15;2303785;27.01.2010 09:15:00;2830041;2446590
10. Dezember 2020 10:00;2319813;10.12.2020 10:00:00;2732846;2446689
28. Januar 2011 10:45;2308039;28.01.2011 10:45:00;2434073;2446774
11. Dezember 2020 10:30;2302528;11.12.2020 10:30:00;2735924;2446839
27. Januar 2010 08:45;2308608;27.01.2010 08:45:00;2716732;2446947
10. Dezember 2020 10:30;2322016;10.12.2020 10:30:00;2796013;2446967
10. Dezember 2020 11:00;2319818;10.12.2020 11:00:00;2808658;2447048
4. Januar 2011 17:30;2309786;04.01.2011 17:30:00;2734337;2447060
11. Januar 2010 10:30;2304976;11.01.2010 10:30:00;2746799;2447066
15. Februar 2010 10:45;2311545;15.02.2010 10:45:00;2488997;2447155
31. Januar 2011 14:00;2308407;31.01.2011 14:00:00;2671523;2447163
11. Februar 2010 19:00;2305385;11.02.2010 19:00:00;2948264;2447186
30. November 2010 08:15;2311110;30.11.2010 08:15:00;2594838;2447189
26. Januar 2011 10:15;2308330;26.01.2011 10:15:00;2197860;2447343
26. Januar 2010 18:00;2303959;26.01.2010 18:00:00;2900090;2447432
3. Dezember 2010 08:00;2306727;03.12.2010 08:00:00;2852863;2447433
15. Dezember 2010 16:00;2317957;15.12.2010 16:00:00;2716078;2447599
26. Januar 2011 10:30;2310771;26.01.2011 10:30:00;2191268;2447644
2. Februar 2011 19:15;2306903;02.02.2011 19:15:00;2447621;2447668
27. Januar 2011 18:00;2313258;27.01.2011 18:00:00;2311452;2447694
11. Januar 2021 18:45;2318555;11.01.2021 18:45:00;3116332;2447702
21. Januar 2011 18:45;2304946;21.01.2011 18:45:00;2730611;2447715
27. Januar 2010 09:30;2308731;27.01.2010 09:30:00;2839852;2447753
11. Februar 2010 10:45;2304153;11.02.2010 10:45:00;2522599;2447808
16. Dezember 2010 19:45;2314631;16.12.2010 19:45:00;2657133;2447882
10. Dezember 2020 11:45;2319344;10.12.2020 11:45:00;2855676;2448127
11. Dezember 2020 11:00;2307756;11.12.2020 11:00:00;2725112;2448144
30. November 2010 09:15;2307228;30.11.2010 09:15:00;2843700;2448147
10. Dezember 2010 10:00;2312948;10.12.2010 10:00:00;2745679;2448243
26. Januar 2010 10:00;2305664;26.01.2010 10:00:00;2815983;2448478
2. Dezember 2010 09:45;2313149;02.12.2010 09:45:00;2905520;2448611
13. Januar 2010 11:45;2314364;13.01.2010 11:45:00;2334828;2448678
27. Januar 2011 08:45;2312809;27.01.2011 08:45:00;2329861;2448735
1. Februar 2011 08:00;2303416;01.02.2011 08:00:00;2609167;2448793
11. Februar 2010 09:45;2302052;11.02.2010 09:45:00;2569827;2448817
12. Januar 2021 09:15;2313976;12.01.2021 09:15:00;2859508;2448833
